id,received_at,donor,channel,brand,product,size,upc,lot,best_by,cases,storage,notes
21,2026-07-04,USDA Foods TEFAP delivery,tefap,USDA Foods,Canned Green Beans,14.5 oz,,TEF-2026-1248,2028-08-31,34,dry,
22,2026-07-06,Target T-2261 retail rescue,retail_rescue,,Good & Gather Whole Wheat Tortillas 12 ct,,,,2026-07-30,8,dry,
23,2026-07-07,Statewide Food Co-op purchase order,purchase,Bush's,"Baked Beans, Original",28 oz,039400016205,BB6188,2028-09-30,26,dry,
24,2026-07-09,Walmart Supercenter #1234 retail rescue,retail_rescue,,Birds Eye Frozen Sweet Corn 12 oz,,,,,13,frozen,
25,2026-07-11,Aldi #78 retail rescue,retail_rescue,,Friendly Farms Greek Yogurt 32 oz,,,,2026-07-25,9,refrigerated,
26,2026-07-13,Publix #0455 retail rescue,retail_rescue,Publix,Bakery Cuban Bread,,,,,11,dry,
27,2026-07-14,Statewide Food Co-op purchase order,purchase,Kirkland,Canned Chicken Breast,12.5 oz,096619028771,K6195,2029-01-31,20,dry,
28,2026-07-16,USDA Foods TEFAP delivery,tefap,USDA Foods,Dried Pinto Beans,2 lb,,TEF-2026-1259,2028-05-31,38,dry,
29,2026-07-18,Walmart Neighborhood Market #5589 retail rescue,retail_rescue,Great Value,Creamy Peanut Butter,40 oz,,,2027-06-30,14,dry,
30,2026-07-20,Target T-2261 retail rescue,retail_rescue,,Good & Gather Organic Apple Juice 64 oz,,,,2027-01-15,10,dry,
31,2026-07-21,Statewide Food Co-op purchase order,purchase,General Mills,Cheerios,18 oz,016000275287,GM6202,2027-12-31,24,dry,
32,2026-07-23,Publix #1130 retail rescue,retail_rescue,,Publix Frozen Strawberries 16 oz,,,,,12,frozen,
33,2026-07-25,Aldi #78 retail rescue,retail_rescue,,Specially Selected Sourdough Loaf,,,,2026-07-31,7,dry,
34,2026-07-28,Publix #0455 retail rescue,retail_rescue,,Organic Whole Blueberries 10 oz frozen,,,,,6,frozen,brand not captured at the dock
35,2026-07-29,USDA Foods TEFAP delivery,tefap,USDA Foods,Canned Salmon,14.75 oz,,TEF-2026-1272,2029-03-31,18,dry,
36,2026-07-31,Walmart Supercenter #1234 retail rescue,retail_rescue,,Kraft Shredded Sharp Cheddar 8 oz,,,,2026-08-21,10,refrigerated,
37,2026-08-01,Statewide Food Co-op purchase order,purchase,Goya,Long Grain Rice,5 lb,041331020602,G6214,2028-07-31,35,dry,
38,2026-08-03,Target T-2261 retail rescue,retail_rescue,,Good & Gather Chicken Breast Tenderloins 1.5 lb,,,,2026-08-10,8,refrigerated,
39,2026-08-04,Salvage grocers reclamation lot,salvage,,assorted frozen fruit repack,,,,,16,frozen,"reclamation pallet, mixed origin, no lot lineage"
40,2026-08-06,Publix #0455 retail rescue,retail_rescue,Publix,Whole Seedless Watermelon,,,,,9,refrigerated,
41,2026-08-07,USDA Foods TEFAP delivery,tefap,USDA Foods,"Frozen Ground Beef, 80/20",10 lb,,TEF-2026-1288,2027-04-30,22,frozen,
42,2026-08-09,Aldi #78 retail rescue,retail_rescue,,Fit & Active Frozen Blueberries 12 oz,,,,,9,frozen,
43,2026-08-10,Statewide Food Co-op purchase order,purchase,Del Monte,Whole Kernel Corn,15.25 oz,024000027089,DM6222,2028-10-31,30,dry,
44,2026-08-12,Walmart Neighborhood Market #5589 retail rescue,retail_rescue,,Crisco Vegetable Oil 48 oz,,,,2027-09-30,12,dry,
45,2026-08-13,Publix #1130 retail rescue,retail_rescue,Publix,Large Grade A Eggs,18 ct,,,2026-08-30,15,refrigerated,
46,2026-08-15,Target T-2261 retail rescue,retail_rescue,,Good & Gather Frozen Mango Chunks 16 oz,,,,,8,frozen,
47,2026-08-17,Statewide Food Co-op purchase order,purchase,Driscoll's,Fresh Blueberries,18 oz,784855100341,DR6231,2026-08-28,6,refrigerated,
48,2026-08-20,Walmart Supercenter #1234 retail rescue,retail_rescue,Great Value,Mixed Berries,16 oz,,,,12,frozen,
49,2026-08-21,Target T-2261 retail rescue,retail_rescue,,Good & Gather Unsweetened Applesauce Pouches 12 ct,,,,2027-06-30,28,dry,
50,2026-08-25,Aldi #78 retail rescue,retail_rescue,,Baker's Corner All Purpose Flour 5 lb,,,,2027-05-31,14,dry,
51,2026-08-26,Publix #0455 retail rescue,retail_rescue,,Publix Deli Rotisserie Chicken Soup 24 oz,,,,2026-09-02,6,refrigerated,
52,2026-08-27,Statewide Food Co-op purchase order,purchase,Kroger,Elbow Macaroni,16 oz,011110866233,KR6239,2028-01-31,26,dry,
53,2026-08-29,Walmart Supercenter #1234 retail rescue,retail_rescue,,StarKist Chunk Light Tuna in Water 5 oz,,,,2029-02-28,20,dry,
54,2026-08-31,Target T-2261 retail rescue,retail_rescue,,Good & Gather Sliced Cheddar 8 oz,,,,2026-09-20,9,refrigerated,
55,2026-09-02,Publix #1130 retail rescue,retail_rescue,Publix,Bagged Garden Salad,12 oz,,,2026-09-08,7,refrigerated,
56,2026-09-03,Aldi #78 retail rescue,retail_rescue,,Goldhen Large Eggs 18 ct,,,,2026-09-24,12,refrigerated,
57,2026-09-05,Statewide Food Co-op purchase order,purchase,Goya,Pink Beans,15.5 oz,041331025614,G6248,2028-11-30,30,dry,
58,2026-09-07,Aldi #78 retail rescue,retail_rescue,,Season's Choice Frozen Peas 16 oz,,,,,11,frozen,
59,2026-09-09,Walmart Neighborhood Market #5589 retail rescue,retail_rescue,,Great Value Frozen Strawberries 16 oz,,,,,10,frozen,
60,2026-09-10,Publix #0455 retail rescue,retail_rescue,,Publix Bakery day-old pastry assortment,,,,,8,dry,
