id,receipt_id,agency_id,shipped_at,cases
82,35,florida-city-shelter,2026-08-02,5
83,36,florida-city-shelter,2026-08-02,6
84,26,perrine-senior,2026-08-04,1
85,39,perrine-senior,2026-08-04,1
86,31,leisure-city-school,2026-08-05,4
87,25,naranja-esperanza,2026-08-08,1
88,16,richmond-heights-ame,2026-08-08,3
89,19,richmond-heights-ame,2026-08-08,6
90,30,richmond-heights-ame,2026-08-08,3
91,6,goulds-mobile,2026-08-10,1
92,35,goulds-mobile,2026-08-10,2
93,42,goulds-mobile,2026-08-10,6
94,41,nueva-vida,2026-08-12,6
95,19,princeton-methodist,2026-08-13,2
96,35,redland-kitchen,2026-08-13,2
97,27,palmetto-bay-community,2026-08-14,3
98,35,palmetto-bay-community,2026-08-14,1
99,41,palmetto-bay-community,2026-08-14,3
100,39,redland-kitchen,2026-08-14,5
101,34,leisure-city-school,2026-08-15,2
102,9,florida-city-shelter,2026-08-16,1
103,7,homestead-bethel,2026-08-16,2
104,48,goulds-mobile,2026-08-24,4
105,17,nueva-vida,2026-08-26,10
106,27,nueva-vida,2026-08-26,4
107,51,nueva-vida,2026-08-26,4
108,8,redland-kitchen,2026-08-27,2
109,24,redland-kitchen,2026-08-27,1
110,30,redland-kitchen,2026-08-27,1
111,15,cutler-bay-baptist,2026-08-28,4
112,33,cutler-bay-baptist,2026-08-28,4
113,7,naranja-esperanza,2026-08-29,6
114,16,naranja-esperanza,2026-08-29,5
115,23,naranja-esperanza,2026-08-29,2
116,10,florida-city-shelter,2026-08-30,3
117,36,florida-city-shelter,2026-08-30,2
118,51,florida-city-shelter,2026-08-30,1
119,12,goulds-mobile,2026-08-31,5
120,17,florida-city-shelter,2026-09-01,6
121,24,perrine-senior,2026-09-01,3
122,35,perrine-senior,2026-09-01,2
123,36,perrine-senior,2026-09-01,1
124,13,leisure-city-school,2026-09-02,2
125,29,leisure-city-school,2026-09-02,2
126,48,richmond-heights-ame,2026-09-02,3
127,53,princeton-methodist,2026-09-03,6
128,10,palmetto-bay-community,2026-09-04,1
129,17,perrine-senior,2026-09-04,6
130,54,richmond-heights-ame,2026-09-05,4
131,6,homestead-bethel,2026-09-06,3
132,38,homestead-bethel,2026-09-06,3
133,9,nueva-vida,2026-09-09,6
134,25,nueva-vida,2026-09-09,5
135,37,nueva-vida,2026-09-09,1
136,53,nueva-vida,2026-09-09,4
137,12,redland-kitchen,2026-09-10,6
138,27,redland-kitchen,2026-09-10,6
139,45,redland-kitchen,2026-09-10,2
140,59,redland-kitchen,2026-09-10,2
